Checkout,mPerks,Cashier needed assist,Wait f Assist,Getting Assist,Note: Extra data to compare to:,Checkout,mPerks,Cashier needed assist
05:36,1,1,37,31,,02:36,0,0
04:50,0,0,,,,02:58,1,0
03:33,1,0,,,,01:47,0,0
02:39,0,0,,,,02:18,1,0
01:15,1,0,,,,02:34,0,0
01:51,0,0,,,,03:12,0,0
02:33,0,0,,,,01:54,1,0
05:25,1,1,28,19,,04:28,0,0
02:54,1,0,,,,01:29,0,0
01:35,0,0,,,,04:17,1,0
03:55,0,0,,,,,,
04:23,1,0,,,,,,
02:12,0,0,,,,,,
02:13,1,0,,,,,,
02:24,0,0,,,,,,
02:15,0,0,,,,,,
01:48,0,0,,,,,,
04:31,1,0,,,,,,
02:58,0,0,,,,,,
03:36,1,0,,,,,,
01:34,0,0,,,,,,
02:23,0,0,,,,,,
03:56,1,0,,,,,,
02:27,0,0,,,,,,
04:22,0,0,,,,,,
02:34,1,,,,,,,
03:02,1,,,,,,,
01:43,0,,,,,,,
02:21,0,,,,,,,
02:47,1,,,,,,,
03:17,1,,,,,,,
02:31,0,,,,,,,
04:17,1,,,,,,,
01:35,0,,,,,,,
04:10,0,,,,,,,
