Self-Check,mPerks,Need Assist,Wait f Assist,Getting Assist
04:35,1,0,,
02:20,0,0,,
04:40,1,1,36,20
01:29,1,0,,
01:52,1,1,5,26
03:07,1,0,,
03:22,1,1,13,23
02:21,0,0,,
04:37,0,1,27,24
03:24,0,0,,
03:33,1,1,11,17
04:31,1,1,34,11
02:27,0,1,17,13
02:39,1,0,,
02:52,0,1,19,20
03:29,0,0,,
01:55,0,0,,
04:19,1,1,21,27
03:17,1,0,,
02:18,0,1,9,22
01:45,1,0,,
04:44,1,1,40,10
03:57,1,1,16,25
01:16,0,0,,
04:22,1,1,26,24
02:29,0,1,6,26
04:26,0,1,33,22
03:41,1,0,,
01:58,1,0,,
03:57,0,1,8,21
02:38,0,0,,
03:39,1,0,,
03:14,1,0,,
02:24,0,0,,
04:23,1,1,35,16
01:37,0,0,,
04:18,0,1,25,22
